start_date_time;RCORR_E
2014-11-03 03:46:00;231.910
2014-11-03 03:47:00;232.790
2014-11-03 03:48:00;232.340
2014-11-03 03:49:00;232.240
2014-11-03 03:50:00;239.250
2014-11-03 03:51:00;237.340
2014-11-03 03:52:00;233.590
2014-11-03 03:53:00;234.120
2014-11-03 03:54:00;236.670
2014-11-03 03:55:00;226.180
2014-11-03 03:56:00;234.620
2014-11-03 03:57:00;235.040
2014-11-03 03:58:00;236.540
2014-11-03 03:59:00;231.160
2014-11-03 04:00:00;241.270
2014-11-03 04:01:00;239.800
2014-11-03 04:02:00;227.710
2014-11-03 04:03:00;231.460
2014-11-03 04:04:00;236.520
2014-11-03 04:05:00;232.760
2014-11-03 04:06:00;239.400
2014-11-03 04:07:00;236.870
2014-11-03 04:08:00;230.690
2014-11-03 04:09:00;236.090
2014-11-03 04:10:00;231.090
2014-11-03 04:11:00;235.570
2014-11-03 04:12:00;232.360
2014-11-03 04:13:00;238.290
2014-11-03 04:14:00;234.090
2014-11-03 04:15:00;233.260
2014-11-03 04:16:00;237.440
2014-11-03 04:17:00;238.290
2014-11-03 04:18:00;235.040
2014-11-03 04:19:00;234.670
2014-11-03 04:20:00;234.670
2014-11-03 04:21:00;235.490
2014-11-03 04:22:00;235.490
2014-11-03 04:23:00;232.940
2014-11-03 04:24:00;234.340
2014-11-03 04:25:00;233.590
2014-11-03 04:26:00;228.560
2014-11-03 04:27:00;235.970
2014-11-03 04:28:00;230.890
2014-11-03 04:29:00;229.410
2014-11-03 04:30:00;232.690
2014-11-03 04:31:00;232.360
2014-11-03 04:32:00;233.990
2014-11-03 04:33:00;233.940
2014-11-03 04:34:00;229.330
2014-11-03 04:35:00;228.530
2014-11-03 04:36:00;227.010
2014-11-03 04:37:00;236.820
2014-11-03 04:38:00;230.910
2014-11-03 04:39:00;228.710
2014-11-03 04:40:00;235.040
2014-11-03 04:41:00;231.940
2014-11-03 04:42:00;234.420
2014-11-03 04:43:00;234.570
2014-11-03 04:44:00;228.310
2014-11-03 04:45:00;233.610
2014-11-03 04:46:00;227.680
2014-11-03 04:47:00;236.140
2014-11-03 04:48:00;235.140
2014-11-03 04:49:00;232.360
2014-11-03 04:50:00;226.160
2014-11-03 04:51:00;235.220
2014-11-03 04:52:00;232.790
2014-11-03 04:53:00;229.840
2014-11-03 04:54:00;229.030
2014-11-03 04:55:00;230.490
2014-11-03 04:56:00;236.640
2014-11-03 04:57:00;234.060
2014-11-03 04:58:00;237.890
2014-11-03 04:59:00;230.090
2014-11-03 05:00:00;229.610
2014-11-03 05:01:00;230.690
2014-11-03 05:02:00;233.490
2014-11-03 05:03:00;234.790
2014-11-03 05:04:00;233.340
2014-11-03 05:05:00;237.070
2014-11-03 05:06:00;232.460
2014-11-03 05:07:00;230.340
2014-11-03 05:08:00;231.510
2014-11-03 05:09:00;235.770
2014-11-03 05:10:00;234.890
2014-11-03 05:11:00;231.360
2014-11-03 05:12:00;236.140
2014-11-03 05:13:00;233.460
2014-11-03 05:14:00;228.610
2014-11-03 05:15:00;238.620
2014-11-03 05:16:00;235.170
2014-11-03 05:17:00;230.460
2014-11-03 05:18:00;229.960
2014-11-03 05:19:00;232.560
2014-11-03 05:20:00;229.180
2014-11-03 05:21:00;237.090
2014-11-03 05:22:00;231.540
2014-11-03 05:23:00;234.470
2014-11-03 05:24:00;232.010
2014-11-03 05:25:00;232.540
2014-11-03 05:26:00;231.640
2014-11-03 05:27:00;231.940
2014-11-03 05:28:00;232.990
2014-11-03 05:29:00;229.010
2014-11-03 05:30:00;230.790
2014-11-03 05:31:00;230.690
2014-11-03 05:32:00;229.790
2014-11-03 05:33:00;228.880
2014-11-03 05:34:00;224.830
2014-11-03 05:35:00;232.360
2014-11-03 05:36:00;235.240
2014-11-03 05:37:00;236.320
2014-11-03 05:38:00;234.060
2014-11-03 05:39:00;232.690
2014-11-03 05:40:00;237.340
2014-11-03 05:41:00;231.690
2014-11-03 05:42:00;235.440
2014-11-03 05:43:00;231.560
2014-11-03 05:44:00;240.100
2014-11-03 05:45:00;235.270
2014-11-03 05:46:00;237.820
2014-11-03 05:47:00;235.920
2014-11-03 05:48:00;226.480
2014-11-03 05:49:00;234.140
2014-11-03 05:50:00;232.860
2014-11-03 05:51:00;235.390
2014-11-03 05:52:00;232.690
2014-11-03 05:53:00;230.190
2014-11-03 05:54:00;233.740
2014-11-03 05:55:00;221.530
2014-11-03 05:56:00;233.940
2014-11-03 05:57:00;230.510
2014-11-03 05:58:00;234.320
2014-11-03 05:59:00;230.540
2014-11-03 06:00:00;237.320
2014-11-03 06:01:00;238.270
2014-11-03 06:02:00;228.610
2014-11-03 06:03:00;225.660
2014-11-03 06:04:00;233.410
2014-11-03 06:05:00;234.040
2014-11-03 06:06:00;227.280
2014-11-03 06:07:00;232.440
2014-11-03 06:08:00;229.810
2014-11-03 06:09:00;233.390
2014-11-03 06:10:00;231.710
2014-11-03 06:11:00;230.590
2014-11-03 06:12:00;234.390
2014-11-03 06:13:00;229.480
2014-11-03 06:14:00;229.080
2014-11-03 06:15:00;233.660
2014-11-03 06:16:00;229.790
2014-11-03 06:17:00;235.590
